"dataset_id","dno_name","dno_alias","secondary_substation_id","secondary_substation_name","substation_geo_location","aggregated_device_count_active","primary_consumption_active_import","secondary_consumption_active_import","total_consumption_active_import","aggregated_device_count_reactive","total_consumption_reactive_import","data_collection_log_timestamp","insert_time","last_modified_time"
"NPg_Substation_February2024","Northern Powergrid","NPg",148553006,"SEVENTH STREET HORDEN","54.764915, -1.3154537",5,184,NA,184,8,108,"2024-02-19 02:00:00.000","2024-03-21T12:00:00+00.00","2024-03-21T12:00:00+00.00"
"NPg_Substation_February2024","Northern Powergrid","NPg",148553006,"SEVENTH STREET HORDEN","54.764915, -1.3154537",5,166,NA,166,8,106,"2024-02-19 02:30:00.000","2024-03-21T12:00:00+00.00","2024-03-21T12:00:00+00.00"
"NPg_Substation_February2024","Northern Powergrid","NPg",148553006,"SEVENTH STREET HORDEN","54.764915, -1.3154537",5,147,NA,147,8,48,"2024-02-19 03:00:00.000","2024-03-21T12:00:00+00.00","2024-03-21T12:00:00+00.00"
"NPg_Substation_February2024","Northern Powergrid","NPg",148553006,"SEVENTH STREET HORDEN","54.764915, -1.3154537",5,94,NA,94,8,37,"2024-02-19 03:30:00.000","2024-03-21T12:00:00+00.00","2024-03-21T12:00:00+00.00"
"NPg_Substation_February2024","Northern Powergrid","NPg",148553006,"SEVENTH STREET HORDEN","54.764915, -1.3154537",5,243,NA,243,8,29,"2024-02-19 04:00:00.000","2024-03-21T12:00:00+00.00","2024-03-21T12:00:00+00.00"
"NPg_Substation_February2024","Northern Powergrid","NPg",148553006,"SEVENTH STREET HORDEN","54.764915, -1.3154537",5,123,NA,123,8,50,"2024-02-19 04:30:00.000","2024-03-21T12:00:00+00.00","2024-03-21T12:00:00+00.00"
"NPg_Substation_February2024","Northern Powergrid","NPg",148553006,"SEVENTH STREET HORDEN","54.764915, -1.3154537",5,174,NA,174,8,49,"2024-02-19 05:00:00.000","2024-03-21T12:00:00+00.00","2024-03-21T12:00:00+00.00"
"NPg_Substation_February2024","Northern Powergrid","NPg",148553006,"SEVENTH STREET HORDEN","54.764915, -1.3154537",5,87,NA,87,8,33,"2024-02-19 05:30:00.000","2024-03-21T12:00:00+00.00","2024-03-21T12:00:00+00.00"
"NPg_Substation_February2024","Northern Powergrid","NPg",148553006,"SEVENTH STREET HORDEN","54.764915, -1.3154537",5,202,NA,202,8,30,"2024-02-19 06:00:00.000","2024-03-21T12:00:00+00.00","2024-03-21T12:00:00+00.00"
"NPg_Substation_February2024","Northern Powergrid","NPg",148553006,"SEVENTH STREET HORDEN","54.764915, -1.3154537",5,133,NA,133,8,87,"2024-02-19 06:30:00.000","2024-03-21T12:00:00+00.00","2024-03-21T12:00:00+00.00"
"NPg_Substation_February2024","Northern Powergrid","NPg",148553006,"SEVENTH STREET HORDEN","54.764915, -1.3154537",5,257,NA,257,8,153,"2024-02-19 07:00:00.000","2024-03-21T12:00:00+00.00","2024-03-21T12:00:00+00.00"
"NPg_Substation_February2024","Northern Powergrid","NPg",148553006,"SEVENTH STREET HORDEN","54.764915, -1.3154537",5,448,NA,448,8,104,"2024-02-19 07:30:00.000","2024-03-21T12:00:00+00.00","2024-03-21T12:00:00+00.00"
"NPg_Substation_February2024","Northern Powergrid","NPg",148553006,"SEVENTH STREET HORDEN","54.764915, -1.3154537",5,247,NA,247,8,109,"2024-02-19 08:00:00.000","2024-03-21T12:00:00+00.00","2024-03-21T12:00:00+00.00"
